plan_name;plan_description;plan_equipment_type;task_title;task_description;task_position;subtask_title;subtask_description;subtask_difficulty;subtask_requires_inspection;subtask_position
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Examen de l'espace entre aile et extrémité d'aileron;Contrôler le jeu entre l’extrémité des ailerons et de l’aile. Il doit être au minimum de 2 mm.;2;0;11
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;LS 4 b : examen de l'aérofrein;LS 4 b : contrôler le bon fonctionnement de l’amortisseur à friction des aérofreins. Vérifier que l’amortisseur est sans trace de graisse.;3;0;12
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;LS 4 a : examen de l'aérofrein;"LS 4 a : Vérifier qu’il n’y a pas de corrosion sur le circuit de commande d’aérofrein, en particulier dans la partie basse des cages d’aérofreins.
Tirer sur la partie haute et au bout de chaque aérofrein avec une force d’environ 25 kg appliquée dans le sens inverse du vol. Descendre les aérofreins en maintenant cette traction. Si un blocage se produisait pendant cette descente, remplacer les roulements à billes .";3;0;13
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Examen de la timonerie dans l'aile;Contrôle du bon état apparent des circuits de commande des ailerons-aérofreins.;2;0;14
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Lubrification des éléments de l'aile;Lubrifier toutes les parties de l’aile conformément au plan de lubrification section 3.4 du manuel de maintenance.;2;0;15
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Réparations simples composite;S'il y a délaminage ou rupture de fibre sur des parties non soumises à des contraintes mécaniques, réparer les petites surfaces en composite suivant les règles de l'art  (bord de fuite de karman d'emplanture par ex.).;3;0;16
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Reprise des rayures profondes ou écaillées;Réparer les rayures profondes ou écaillées par regelcoatage ou peinture selon la finition de l'aile.;3;1;17
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Vérification et changement du patin;En cas d’usure du patin de l'extrémité de l'aile droite, en faire l’échange.;3;0;18
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Vérification du drainage;Vérifier l'état des trous de drainage à l'intrados de l'aile et les déboucher si nécessaire.;2;0;19
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Vérification du drainage;Contrôler l’état de l’étanchéité entre l’aile et l’aileron et procéder à son remplacement si nécessaire. (LS4 a : se reporter au manuel de maintenance section 4.2.2.1. LS4 b et montage optionnel sur LS4 a se reporter au manuel de maintenance section 4.2.2.2.);3;0;20
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Remplacement de roulement;Si un ou plusieurs roulements étaient à remplacer, suivre les recommandations du constructeur contenues dans le paragraphe « repair air brake levers » dans le manuel de maintenance.;3;1;21
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Remplacement d'une pièce métallique;Si une pièce métallique nécessitait une réparation ou un remplacement, suivre les recommandations du constructeur.;3;1;22
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Démontage et remplacement d'un élément de commande;Si un élément de commande aileron-aérofrein est à démonter ou remplacer, le faire réaliser par du pesonnel qualifié.;3;1;23
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Ponçage de la surface de l'aile;Si le gelcoat à la surface de l'aile présente des amorces de criques, vérifier auprès d'une personne compétente la possibilité de les éliminer par ponçage à l'eau.;3;0;24
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile droite démontée;Travaux à réaliser sur l'aile droite démontée;3;Finition de l'état de surface de l'aile;Polissage et protection du revêtement de l'aile.;2;0;25
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Nettoyage, lavage et rinçage;Retirer les traces de scotch, laver l'aile à l'eau avec du savon noir puis la rincer.;1;0;26
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Examen de l'état de surface;"Examiner soigneusement l’état de surface après nettoyage.
Détecter les trous, les criques, les délaminages et les enfoncements locaux par recherche visuelle et au toucher. Contrôler qu'aucune partie blanchâtre n'apparaisse dans la fibre. Noter tous les défauts en les marquant avec un crayon gras.";3;0;27
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Examen des inserts dans la fibre;Contrôler que l'ensemble des insertions dans la fibre soient bien collés et ne présentent aucun jeu. Noter tous les défauts en les marquant avec un crayon gras.;3;0;28
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Examen des inserts dans la fibre;Vérifier que toutes les pièces métalliques visibles soient en bon état et sans jeu excessif. Si nécessaire, supprimer la corrosion, après décapage, en appliquant une couche de protection anticorrosion.;3;0;29
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Examen de l'espace entre aile et extrémité d'aileron;Contrôler le jeu entre l’extrémité des ailerons et de l’aile. Il doit être au minimum de 2 mm.;2;0;30
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;LS 4 b : examen de l'aérofrein;LS 4 b : contrôler le bon fonctionnement de l’amortisseur à friction des aérofreins. Vérifier que l’amortisseur est sans trace de graisse.;3;0;31
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;LS 4 a : examen de l'aérofrein;"LS 4 a : Vérifier qu’il n’y a pas de corrosion sur le circuit de commande d’aérofrein, en particulier dans la partie basse des cages d’aérofreins.
Tirer sur la partie haute et au bout de chaque aérofrein avec une force d’environ 25 kg appliquée dans le sens inverse du vol. Descendre les aérofreins en maintenant cette traction. Si un blocage se produisait pendant cette descente, remplacer les roulements à billes .";3;0;32
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Examen de la timonerie dans l'aile;Contrôle du bon état apparent des circuits de commande des ailerons-aérofreins.;2;0;33
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Lubrification des éléments de l'aile;Lubrifier toutes les parties de l’aile conformément au plan de lubrification section 3.4 du manuel de maintenance.;2;0;34
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Réparations simples composite;S'il y a délaminage ou rupture de fibre sur des parties non soumises à des contraintes mécaniques, réparer les petites surfaces en composite suivant les règles de l'art  (bord de fuite de karman d'emplanture par ex.).;3;0;35
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Reprise des rayures profondes ou écaillées;Réparer les rayures profondes ou écaillées par regelcoatage ou peinture selon la finition de l'aile.;3;1;36
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Vérification et changement du patin;En cas d’usure du patin de l'extrémité de l'aile droite, en faire l’échange.;2;0;37
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Vérification du drainage;Vérifier l'état des trous de drainage à l'intrados de l'aile et les déboucher si nécessaire.;2;0;38
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Vérification des bandes d'étanchéités ;Contrôler l’état de l’étanchéité entre l’aile et l’aileron et procéder à son remplacement si nécessaire. (LS4 a : se reporter au manuel de maintenance section 4.2.2.1. LS4 b et montage optionnel sur LS4 a se reporter au manuel de maintenance section 4.2.2.2.);5;0;39
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Remplacement de roulement;Si un ou plusieurs roulements étaient à remplacer, suivre les recommandations du constructeur contenues dans le paragraphe « repair air brake levers » dans le manuel de maintenance.;3;1;40
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Remplacement d'une pièce métallique;Si une pièce métallique nécessitait une réparation ou un remplacement, suivre les recommandations du constructeur.;3;1;41
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Démontage et remplacement d'un élément de commande;Si un élément de commande aileron-aérofrein est à démonter ou remplacer, le faire réaliser par du personnel qualifié;3;1;42
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Ponçage de la surface de l'aile;Si le gelcoat à la surface de l'aile présente des amorces de criques, vérifier auprès d'une personne compétente la possibilité de les éliminer par ponçage à l'eau.;3;0;43
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Aile gauche démontée;Travaux à réaliser sur l'aile gauche démontée;4;Finition de l'état de surface de l'aile;Polissage et protection du revêtement de l'aile.;2;0;44
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Water-ballasts;Travaux à réaliser sur les water-vallasts;5;Contrôle d'étanchéité;Contrôle de l'étanchéité de l'ensemble. (Contacter le constructeur si une fuite des réservoirs d'eau est suspectée dans la structure).;3;0;45
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Water-ballasts;Travaux à réaliser sur les water-vallasts;5;Contrôle des vannes;Contrôler le bon fonctionnement des vannes de ballasts.;2;0;46
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Water-ballasts;Travaux à réaliser sur les water-vallasts;5;Contrôle de la vidange;Vérifier que les poches des ballasts se vident en moins de 90 secondes;2;0;47
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Verrière;Travaux à réaliser sur la verrière;6;Contrôle de l'état général;Vérifier l'état du plexiglas, du fonctionnement de la fenêtre et de l'écope d'aération. Procéder au changement des rails si nécessaire;2;0;48
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Verrière;Travaux à réaliser sur la verrière;6;Réparation de criques;Rechercher les criques et des écailles sur l'armature. Le cas échéant, faire procéder à la réparation par une personne qualifiée.;3;1;49
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Verrière;Travaux à réaliser sur la verrière;6;Contrôle des articulations et systèmes de verrouillage;Contrôler puis lubrifier chaque articulation ainsi que les mécanismes d'ouverture-fermeture et de démontage.;3;0;50
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Verrière;Travaux à réaliser sur la verrière;6;Contrôle des fixations et du mécanisme de verrouillage sur le fuselage;Vérifier les fixations de la verrière et le mécanisme de verrouillage. Contrôler le bon fonctionnement du mécanisme de largage d’urgence de la verrière (conformément avec la section 4.9 du manuel de maintenance). Remplacer ou réparer (faire réparer par une personne qualifiée) si présence de criques, fissures, déformations ou délaminages. Faire un essai de largage de verrière en tirant les poignées d’ouverture et largage. Vérifier le bon fonctionnement du largage détresse.;3;0;51
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Verrière;Travaux à réaliser sur la verrière;6;Nettoyage et stockage;Nettoyer et polisher la verrière avec les produits adaptés. Protéger la verrière pendant le reste des travaux avec la housse.;2;0;52
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Nettoyage, lavage et rinçage;Retirer les traces de scotch, laver le fuselage à l'eau avec du savon noir puis la rincer.;1;0;53
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Démontage du baquet et nettoyage remise en état du cockpit;Démonter le baquet pour nettoyage et examen de l'ensemble des parties rendues visibles. Détecter les corrosions, les jeux et les criques des différentes supports, commandes, renvois et axes ainsi libérés. Procéder à l'anticorrosion, à la peinture et/ou aux réparations si nécessaire. En cas de démontage de commande, il faut faire appel à un personnel qualifié.;2;0;54
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Contrôle du circuit de commande des water ballasts;Contrôler le bon fonctionnement du circuit de commande des water ballasts.;2;0;55
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Contrôle et remplacement si besoin des harnais;Examiner les harnais : état des sangles (propreté, déchirures, coutures) et des attaches sur la structure, bon fonctionnement des boucles et des tendeurs coulissants (déformation et oxydation). Procéder au remplacement si nécessaire (fin de vie au bout de 12 ans indiqué sur ou avant si usure prématurée).;2;0;56
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Contrôle du dispositif de ventilation;Contrôle de l'état et du bon fonctionnement du dispositif de ventilation et de sa commande. ;2;0;57
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Contrôle du palonnier;Nettoyer, vérifier et lubrifier de l'ensemble du système : le coulissement doit être aisé, le verrouillage doit être efficace (utiliser de l'huile de vaseline) et le cable en acier en bon état sinon procéder au remplacement par une personne qualifiée.;2;0;58
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Contrôle du logement à gueuse;Vérifier la présence de la vis et de l’écrou de fixation de la gueuse de centrage.;2;0;59
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Contrôle du crochet de remorquage et treuillage;Vérifier le bon fonctionnement du crochet de remorquage et de treuillage si le planeur est équipé de ce dernier.;2;0;60
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Lubrification et graissage;Procéder à la lubrification des éléments conformément au plan de graissage défini dans le manuel de maintenance.;2;0;61
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Démontage et réparation de timonerie;En cas de jeux, de criques ou de corrosion sur des éléments de timonerie des commandes, démonter et réparer ou remplacer les éléments de commande concernés.;2;0;62
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Fuselage démonté;Travaux à réaliser sur le fuselage démonté;7;Démontage et réparation des palonniers;En cas de point dur sur le palonnier ou de nécessité de changement des câbles, déposer les 2 pédales, remonter de nouveaux câbles et graisser l’axe de pivotement.;3;1;63
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Rotules L'Hotellier;Vérification des rotules L'Hotellier dans le fuselage et les ailes;8;Contrôle de l'état des rotules;Contrôler le bon état des embouts et rotules l’Hotellier sur le fuselage et les ailes, conformément à l’instruction L’Hotellier IM.10.01 (section 14.2 du manuel de maintenance).;3;1;64
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Rotules L'Hotellier;Vérification des rotules L'Hotellier dans le fuselage et les ailes;8;Contrôle du fonctionnement des rotules;Contrôler le fonctionnement des mécanismes de verrouillage des rotules l’Hotellier. Remplacer les ressorts s’il sont endommagés. Retirer les traces d’huile ou de graisse sur les plateaux d’appui des ressorts de verrouillage.;3;0;65
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Rotules L'Hotellier;Vérification des rotules L'Hotellier dans le fuselage et les ailes;8;Contrôle des marques de peinture sur les embouts;Contrôler les marques de peinture sur les embouts, les repeindre si nécessaire.;3;0;66
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Rotules L'Hotellier;Vérification des rotules L'Hotellier dans le fuselage et les ailes;8;Démontage et réparation des rotules, embouts ou mécanismes de verrouillage;En cas de démontage, remontage ou remplacement des rotules, des embouts et des mécanismes de verrouillage, il faut faire appel à du personnel qualifié.;3;1;67
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Plaquettes et marques;Vérification de la présence et du bon état des plaquettes et marques;9;Vérification des plaquettes et pictogrammes;Vérifier la pésence et la lisibilité dans le poste de pilotage des plaquettes indicatrices et/ ou pictogrammes prévus dans le manuel de vol.;2;0;68
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Plaquettes et marques;Vérification de la présence et du bon état des plaquettes et marques;9;Vérification des couleurs sur les commandes;Vérifier le bon état et la conformité des couleurs conventionnelles des aérofreins, compensateur, crochet remorquage, ouverture et largage verrière.;2;0;69
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Instruments de bord;Contrôle des instruments et de leur alimentation pneumatique et/ou électrique;10;Contrôle des instruments pneumatiques;Contrôle des instruments pneumatiques et de leur étanchéité : anémomètre (contrôle des marquages des vitesses limites), altimètre (vérification par affichage du QFE), variomètre.;2;0;70
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Instruments de bord;Contrôle des instruments et de leur alimentation pneumatique et/ou électrique;10;Contrôle des prises statiques, totale  et de compensation;Propreté des prises statiques, de la prise totale et de la prise de l'antenne de compensation.;2;0;71
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Instruments de bord;Contrôle des instruments et de leur alimentation pneumatique et/ou électrique;10;Vérification de la tuyauterie;En cas de démontage remontage des instruments, vérifier l'état des tuyaux apparents.;2;0;72
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Instruments de bord;Contrôle des instruments et de leur alimentation pneumatique et/ou électrique;10;Contrôle des circuits électriques;Contrôler les circuits et les câblages électriques : continuité, isolation, vérification du fonctionnement des fusibles, des contatceurs généraux et des boutons de choix de batterie ;2;0;73
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Instruments de bord;Contrôle des instruments et de leur alimentation pneumatique et/ou électrique;10;Contrôle des batteries;Contrôler les fixations, supports et câblages des batteries côté planeur.;2;0;74
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Instruments de bord;Contrôle des instruments et de leur alimentation pneumatique et/ou électrique;10;Contrôle de la VHF;Contrôler la VHF : état de la prise et du câble d'antenne, test d'emission et de réception avec une autre station, contrôle du volume et du fonctionnement du Squlelch. ;2;0;75
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Instruments de bord;Contrôle des instruments et de leur alimentation pneumatique et/ou électrique;10;Contrôle du calculateur;Contrôler le calculateur : allumage avec la saisie du QNH, vérification de l'affichage analogique du variomètre qui doit être comparable au variomètre pneumatique.;2;0;76
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Instruments de bord;Contrôle des instruments et de leur alimentation pneumatique et/ou électrique;10;Contrôle du FLARM;Contrôler le bon fonctionnement du FLARM : antennes GPS et VHF, raccordements aux afficheurs (RJ11) et alimentation (RJ45), séquence d'allumage, allumage de l’afficheur, vérification carte mémoire par déchargement des derniers vols, vérification de la version du logiciel et mise à jour si nécessaire.;2;0;77
VA LS 4 a - LS 4 b;Visite annuelle type pour LS 4 a et LS 4 b hors travaux complémentaires;glider;Crochet TOST;Contrôle et changement du crochet TOST;11;Etat du crochet;Vérifier l'absence de corrosion, sinon faire procéder à la dépose pour révision et remise en état par un personnel qualifié.;2;0;78
